start,end,type,authorL,titleL,authorH,titleH,eolL,eolH,paper
,,HEADER,,"Friday, May 17th, 2013",,"Friday, May 17th, 2013",,,
8:00,9:00,smallbreak,,Optional Pre-Conference Tutorials,,Optional Pre-Conference Tutorials,,,
,,tutorial,Armstrong/Lewis,An Introduction to Distributed Computing in R,Armstrong/Lewis,An Introduction to Distributed Computing in R,,,workshop/Armstrong+Lewis.pdf
,,tutorial,Matthew Dowle,Advanced Tutorial on \emph{data.table},Matthew Dowle,Advanced Tutorial on data.table,,,workshop/MatthewDowle.pdf
,,tutorial,Humme/Peterson,Using \emph{quantstrat} to evaluate intraday trading strategies,Humme/Peterson,Using quantstrat to evaluate intraday trading strategies,,,workshop/Humme+Peterson.pdf
,,tutorial,Dirk Eddelbuettel,Example-driven Introduction to \emph{Rcpp},Dirk Eddelbuettel,Example-driven Introduction to Rcpp,,,workshop/DirkEddelbuettel.pdf
,,tutorial,Jeff Ryan,R Programming for Financial Data,Jeff Ryan,R Programming for Financial Data,,,
9:00,9:30,normalbreak,,Registration (2nd fl.~Inner Circle) \& Cont.~Breakfast (3rd fl.~by Sponsor Tables),,Registration (2nd floor Inner Circle) & Continental Breakfast (3rd floor by Sponsor Tables),,,
9:30,9:35,normalbreak,,Welcome and Opening Remarks,,Welcome and Opening Remarks,,,
9:35,9:45,normalbreak,,Introduction of Sponsors,,Introduction of Sponsors,,,
9:45,10:35,keynote,Ryan Sheftel,R on the Trading Desk,Ryan Sheftel,R on the Trading Desk,,,talk/RyanSheftel.pdf
10:35,10:55,talk,David Ardia,Implied expected returns and the choice of a mean-variance efficient portfolio proxy,David Ardia,Implied expected returns and the choice of a mean-variance efficient portfolio proxy,,,talk/DavidArdia.pdf
10:55,11:15,talk,Ronald Hochreiter,Financial Portfolio Optimization with (O)R,Ronald Hochreiter,Financial Portfolio Optimization with (O)R,,,talk/RonaldHochreiter.pdf
11:15,11:45,smallbreak,,Break,,Break,,,
11:45,12:05,talk,Bernhard Pfaff,Portfolio Selection with Probabilistic Utility: Revisited,Bernhard Pfaff,Portfolio Selection with Probabilistic Utility: Revisited,,,talk/BernhardPfaff.pdf
12:05,12:30,lightning,Maria Belianina,OneTick and R: Handling High and Low Frequency Data,Maria Belianina,OneTick and R: Handling High and Low Frequency Data,,,talk/MariaBelianina.pdf
,,lightning,Yang Lu,Performance Attribution for Equity Portfolios,Yang Lu,Performance Attribution for Equity Portfolios,,,talk/Lu+Kane.pdf
,,lightning,Michael Kapler,Portfolio Allocation with Cluster Risk Parity,Michael Kapler,Portfolio Allocation with Cluster Risk Parity,,,talk/MichaelKapler.pdf
,,lightning,Tammer Kamel,Quandl: A new source of financial data for R users,Tammer Kamel,Quandl: A new source of financial data for R users,,,
12:30,13:50,smallbreak,,Lunch,,Lunch,,,
13:50,14:10,talk,Doug Martin,"Robust Covariances And Distances: Common
Risk Factor Versus Idiosyncratic Outliers",Doug Martin,"Robust Covariances And Distances: Common
Risk Factor Versus Idiosyncratic Outliers",,,talk/DougMartin.pdf
14:10,14:30,talk,Giles Heywood,Covariance forecasting for portfolio optimisation,Giles Heywood,Covariance forecasting for portfolio optimisation,,,talk/GilesHeywood.pdf
14:30,14:55,smallbreak,,Break,,Break,,,
14:55,15:45,keynote,Ruey Tsay,Multivariate Processes in R,Ruey Tsay,Multivariate Processes in R,,,talk/RueyTsay.pdf
15:45,16:05,talk,Alexios Ghalanos,Time Varying Higher Moments and the Cost of GARCH,Alexios Ghalanos,Time Varying Higher Moments and the Cost of GARCH,,,talk/AlexiosGhalanos.pdf
16:05,16:25,talk,Kris Boudt,Regime Switches in Volatility and Correlation of Financial Institutions,Kris Boudt,Regime Switches in Volatility and Correlation of Financial Institutions,,,talk/KrisBoudt.pdf
16:25,16:45,talk,David Matteson,Nonparametric Estimation of Stationarity and Change Points in Finance,David Matteson,Nonparametric Estimation of Stationarity and Change Points in Finance,,,talk/DavidMatteson.pdf
16:45,16:51,lightning,Celine Sun,Estimating High Dimensional Covariance Matrices Using a Factor Model,Celine Sun,Estimating High Dimensional Covariance Matrices Using a Factor Model,,,talk/CelineSun.ppt
16:51,16:57,lightning,Winston Chang,Shiny: Building interactive web applications with R,Winston Chang,Shiny: Building interactive web applications with R,,,
16:57,17:00,normalbreak,,"Information About Reception, Dinner",,"Information About Reception, Dinner",,,
17:00,18:55,normalbreak,,Conference Reception,,Conference Reception,,,
18:55,,normalbreak,,Optional Conference Dinner (The Terrace at The Trump),,Optional Conference Dinner (The Terrace at The Trump),,VERTSPACE,
,,HEADER,,"Saturday, May 18th, 2013",,"Saturday, May 18th, 2013",,,
8:00,9:00,smallbreak,,Coffee / Breakfast,,Coffee / Breakfast,,,
9:00,9:05,smallbreak,,Kickoff,,Kickoff,,,
9:05,9:24,lightning,Christian Silva,Understanding moving averages strategies with the help of toy models using R,Christian Silva,Understanding moving averages strategies with the help of toy models using R,,,talk/ChristianSilva.pdf
,,lightning,Vyacheslav Arbuzov,Modeling and analysis of financial crashes using empirical market  microstructure with parallel computations in R,Vyacheslav Arbuzov,Modeling and analysis of financial crashes using empirical market  microstructure with parallel computations in R,,,talk/VyacheslavArbuzov.pdf
,,lightning,Stephen Rush,The Bond Coupon's Impact on Liquidity,Stephen Rush,The Bond Coupon's Impact on Liquidity,,,talk/StephenRush.pdf
9:24,9:44,talk,Azzarello/Putnam,A Bayesian interpretation of the Federal Reserve's dual mandate and the Taylor Rule,Azzarello/Putnam,A Bayesian interpretation of the Federal Reserve's dual mandate and the Taylor Rule,,,talk/Azzarello+Putnam.pdf
9:44,10:04,talk,Grant Cavanaugh,Using Markov Models in R to Understand the Lifecycle of Exchange-traded Derivatives,Grant Cavanaugh,Using Markov Models in R to Understand the Lifecycle of Exchange-traded Derivatives,,,talk/GrantCavanaugh.pdf
10:04,10:40,smallbreak,,Break,,Break,,,
10:40,11:00,talk,Jiahan Li,"Efficient ""Kitchen-Sink"" Forecasts for Exchange Rates",Jiahan Li,"Efficient ""Kitchen-Sink"" Forecasts for Exchange Rates",,,talk/JiahanLi.pdf
11:00,11:20,talk,Thomas Harte,Pricing FX Forwards: Tricks of the Trade,Thomas Harte,Pricing FX Forwards: Tricks of the Trade,,,talk/ThomasHarte.pdf
11:20,12:10,keynote,Sanjiv Das,R in Academic Finance: From Theory to Practice (with Applications),Sanjiv Das,R in Academic Finance: From Theory to Practice (with Applications),,,talk/SanjivDas.pptx
12:10,13:20,smallbreak,,Lunch,,Lunch,,,
13:20,13:40,talk,Dirk Eddelbuettel,RcppArmadillo: Accelerating R with High-Performance C++ Linear Algebra,Dirk Eddelbuettel,RcppArmadillo: Accelerating R with High-Performance C++ Linear Algebra,,,talk/DirkEddelbuettel.pdf
